"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 21:09:12 GMT 2023","Mon Jul 24 21:09:21 GMT 2023","8763","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testExternalTopMenuNavigatesToCorrespondingPage","testExternalTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:07:35 GMT 2023","Mon Jul 24 21:07:44 GMT 2023","9160","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:29:22 GMT 2023","Mon Jul 24 21:29:32 GMT 2023","9164","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testListOfYearsIsCorrect","testListOfYearsIsCorrect",""
"passed","Mon Jul 24 21:12:21 GMT 2023","Mon Jul 24 21:12:31 GMT 2023","10133","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testOrangeButtonsAreClickableAndVisible","testOrangeButtonsAreClickableAndVisible",""
"passed","Mon Jul 24 21:27:44 GMT 2023","Mon Jul 24 21:27:52 GMT 2023","7798","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testTemperatureValueIncreasedByOne_WhenClickingUp","testTemperatureValueIncreasedByOne_WhenClickingUp",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testTransparentButtonsLabels","testTransparentButtonsLabels",""
"passed","Mon Jul 24 21:25:11 GMT 2023","Mon Jul 24 21:25:19 GMT 2023","8025","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testChosenDataSourceOptionIsSavedAfterClickingLessOptions","testChosenDataSourceOptionIsSavedAfterClickingLessOptions",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testH2HeaderOnAlertsTable","testH2HeaderOnAlertsTable",""
"passed","Mon Jul 24 21:25:19 GMT 2023","Mon Jul 24 21:25:27 GMT 2023","7495","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testCorrect8DaysForecastCalendarSequence","testCorrect8DaysForecastCalendarSequence",""
"passed","Mon Jul 24 21:05:42 GMT 2023","Mon Jul 24 21:05:53 GMT 2023","11204","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testErrorMessageWhenCreatingNewAccountWithoutCaptcha","testErrorMessageWhenCreatingNewAccountWithoutCaptcha",""
