"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 20:05:42 GMT 2023","Mon Jul 24 20:05:50 GMT 2023","8250","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"unknown","Mon Jul 24 19:56:13 GMT 2023","Mon Jul 24 19:56:13 GMT 2023","0","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testH2Header_WhenSearchingCityCountry","testH2Header_WhenSearchingCityCountry",""
"passed","Mon Jul 24 20:01:37 GMT 2023","Mon Jul 24 20:01:46 GMT 2023","8606","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testPartnersMenuNavigatesToPartnersPage","testPartnersMenuNavigatesToPartnersPage",""
"passed","Mon Jul 24 20:20:29 GMT 2023","Mon Jul 24 20:20:37 GMT 2023","8181","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testDifferentWeatherButtonOpensDifferentWeatherContainer","testDifferentWeatherButtonOpensDifferentWeatherContainer",""
"passed","Mon Jul 24 20:01:54 GMT 2023","Mon Jul 24 20:02:03 GMT 2023","8466","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testPricingMenuNavigatesToPricePage","testPricingMenuNavigatesToPricePage",""
"passed","Mon Jul 24 19:59:44 GMT 2023","Mon Jul 24 19:59:54 GMT 2023","9533","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 20:16:13 GMT 2023","Mon Jul 24 20:16:25 GMT 2023","11239","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials",""
"passed","Mon Jul 24 20:16:46 GMT 2023","Mon Jul 24 20:16:59 GMT 2023","12500","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials",""
"unknown","Mon Jul 24 19:56:13 GMT 2023","Mon Jul 24 19:56:13 GMT 2023","0","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testCopyrightOnFooterMenu","testCopyrightOnFooterMenu",""
"unknown","Mon Jul 24 19:56:13 GMT 2023","Mon Jul 24 19:56:13 GMT 2023","0","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testH4HeadersOnAlertsTable","testH4HeadersOnAlertsTable",""
"passed","Mon Jul 24 20:14:51 GMT 2023","Mon Jul 24 20:15:01 GMT 2023","10128","Surefire suite","Surefire test","tests.WeatherMapsTest","tests.WeatherMapsTest","testButtonLoop_MapPage","testButtonLoop_MapPage",""
"passed","Mon Jul 24 20:03:12 GMT 2023","Mon Jul 24 20:03:24 GMT 2023","11373","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testLogInWithEmailIsNotCaseSensitive","testLogInWithEmailIsNotCaseSensitive",""
"unknown","Mon Jul 24 19:56:13 GMT 2023","Mon Jul 24 19:56:13 GMT 2023","0","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","test_API_CNTResponse_OpenBaseURL","test_API_CNTResponse_OpenBaseURL",""
